"Chick Fil-A","Chicken Enchiladas Meal Kit",860
"Chick Fil-A","Chicken Parmesan Meal Kit",720
Sonic,"Hatch Green Chile Cheeseburger",710
Sonic,"Jalapeno Burger",640
Sonic,"Jr. Double Cheeseburger",600
Sonic,"Sonic Bacon Cheeseburger (w/mayo)",870
Sonic,"Sonic Burger W/ Mustard",640
Sonic,"Sonic Burger W/ Ketchup",650
Sonic,"Sonic Burger W/ Mayonnaise",740
Sonic,"Sonic Cheeseburger W/ Mustard",710
Sonic,"Sonic Cheeseburger W/ Ketchup",720
Sonic,"Sonic Cheeseburger W/ Mayonnaise",800
Sonic,"Grilled Asiago Caesar Chicken Club Sandwich",610
Sonic,"Crispy Asiago Caesar Chicken Club Sandwich",680
Sonic,"Crispy Chicken Sandwich",570
Sonic,"Deluxe Ultimate Chicken Sandwich",740
Sonic,"Large Jumbo Popcorn Chicken",560
Sonic,"Large Spicy Jumbo Popcorn Chicken",610
Sonic,"3 Piece Super Crunch Chicken Strip Dinner",970
Sonic,"5 Piece Super Crunch Chicken Strips",550
Sonic,"Traditional Ultimate Chicken Sandwich",730
Sonic,"Cheesy Bacon Pretzel Dog - 6 In.",500
Sonic,"Footlong Quarter Pound Coney",830
Arbys,"Beef 'n Cheddar Mid",630
Arbys,"Bourbon BBQ Brisket Sandwich",650
Arbys,"Bourbon BBQ Chicken Sandwich",690
Arbys,"Bourbon BBQ Steak Sandwich",690
Arbys,"Buttermilk Buffalo Chicken Sandwich",540
Arbys,"Buttermilk Chicken Bacon & Swiss",650
Arbys,"Buttermilk Chicken Cordon Bleu Sandwich",690
Arbys,"Buttermilk Crispy Chicken Sandwich",550
Arbys,"Classic French Dip & Swiss/Au Jus",540
Arbys,"Double Roast Beef",510
Arbys,"Fire-Roasted Philly Steak",640
Arbys,"Greek Gyro",710
Arbys,"Half Pound Beef 'n Cheddar Sandwich",740
Arbys,"Half Pound French Dip & Swiss",750
Arbys,"Half Pound Roast Beef Sandwich",610
Arbys,"Loaded Italian Sandwich",680
Arbys,"Pecan Chicken Salad Flatbread",710
Arbys,"Pecan Chicken Salad Sandwich",840
Arbys,"5 piece Prime-Cut Chicken Tenders",600
Arbys,"Reuben Sandwich",680
Arbys,"Roast Beef Gyro",550
Arbys,"Roast Turkey & Swiss Sandwich",710
Arbys,"Roast Turkey & Swiss Wrap",520
Arbys,"Roast Turkey, Ranch & Bacon Sandwich",800
Arbys,"Roast Turkey, Ranch & Bacon Wrap",620
Arbys,"Smoke Mountain w/ Beef Short Rib",740
Arbys,"Smokehouse Beef Short Rib Sandwich",590
Arbys,"Smokehouse Brisket",600
Arbys,"Three Cheese Steak Sandwich",650
Arbys,"Turkey Avocado Club",730
Arbys,"Ultimate BLT",980
Arbys,"Chopped Side Salad",70
Arbys,"Super Greek Salad",720
"Burger King","Bacon King Jr",730
"Burger King","Double Bacon Cheeseburger",520
"Burger King","Double Quarter Pound King",900
"Burger King","Extra Long Cheeseburger",580
"Burger King","Homestyle Cheeseburger",550
"Burger King","Jalapeno King Sandwich",990
"Burger King","Mushroom & Swiss King",940
"Burger King","Sourdough King Single",730
"Burger King","Sourdough King Double",970
"Burger King","Bacon & Cheese Whopper",770
"Burger King","DOUBLE WHOPPER w/o Cheese",900
"Burger King","DOUBLE WHOPPER w/ Cheese",990
"Burger King","WHOPPER w/o Cheese",660
"Burger King","WHOPPER w/ Cheese",760
"Burger King","Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing",590
"Burger King","Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing",720
"Burger King","Chicken BLT Salad w/ Grilled Chicken",550
"Burger King","Chicken BLT Salad w/ Crispy Chicken",690
"Burger King","Chicken Caesar Salad w/ Grilled Chicken",530
"Burger King","Chicken Caesar Salad w/ Crispy Chicken",670
"Burger King","Chicken, Apple & Cranberry Salad w/ Grilled Chicken",560
"Burger King","Chicken, Apple & Cranberry Salad w/ Crispy Chicken",700
"Burger King","Bacon Cheddar Ranch Crispy Chicken Sandwich",830
"Burger King","Big Fish Sandwich",530
"Burger King","Chicken Cordon Bleu Sandwich",730
"Burger King","20 Piece Chicken Nuggets",950
"Burger King","Chicken Parmesan Sandwich",570
"Burger King","Crispy Buffalo Chicken Melt",580
"Burger King","Crispy Chicken Sandwich",670
"Burger King","Original Chicken Sandwich",630
"Burger King","Sourdough Chicken Club",840
"Burger King","Spicy Chicken Nuggets",530
"Burger King","Spicy Crispy Chicken Sandwich",700
"Burger King","Spicy Crispy Jalapeno Chicken Sandwich",760
"Dairy Queen","1/2 lb. GrillBurger with Cheese",800
"Dairy Queen","1/4 lb. Bacon Cheese GrillBurger",630
"Dairy Queen","1/4 lb. GrillBurger with Cheese",540
"Dairy Queen","1/4 lb. Mushroom Swiss GrillBurger",570
"Dairy Queen","Original Double Cheeseburger",630
"Dairy Queen","Regular Cheese Curds",550
"Dairy Queen","Chili Cheese Mega Dog",760
"Dairy Queen","Deluxe Double Cheeseburger",640
"Dairy Queen","Deluxe Double Hamburger",540
"Dairy Queen","DQ Ultimate® Burger",780
"Dairy Queen","Pork Tenderloin Sandwich",580
"Dairy Queen","Steak Finger Basket",910
"Dairy Queen","Chicken Bacon Ranch Sandwich",500
"Dairy Queen","Chicken Mozzarella Sandwich",640
"Dairy Queen","Crispy Chicken BLT Salad",520
"Dairy Queen","Crispy Chicken Sandwich",600
"Dairy Queen","Turkey BLT Sandwich",550
Subway,"Footlong B.L.T.",640
Subway,"Footlong BBQ Rib Sandwich",860
Subway,"6"" Big Hot Pastrami",580
Subway,"6"" Big Philly Cheesesteak",500
Subway,"Footlong Black Forest Ham",580
Subway,"Footlong Carved Turkey",660
Subway,"6"" Carved Turkey & Bacon w/ Cheese",570
Subway,"6"" Chicken & Bacon Ranch Melt",570
Subway,"Footlong Chicken Pizziola Melt",920
Subway,"Footlong Cold Cut Combo",740
Subway,"Footlong Corned Beef Reuben",940
Subway,"Footlong Italian B.M.T.",820
Subway,"6"" Italian Hero",550
Subway,"Footlong Meatball Marinara",960
Subway,"Footlong Oven Roasted Chicken",640
Subway,"Footlong Roast Beef",640
Subway,"Footlong Rotisserie Style Chicken",700
Subway,"Footlong Spicy Italian",960
Subway,"Footlong Steak and Cheese",760
Subway,"Footlong Subway Club",620
Subway,"Footlong Subway Melt (includes cheese)",740
Subway,"Footlong Subway Seafood Sensation",840
Subway,"Footlong Sweet Onion Chicken Teriyaki",760
Subway,"Footlong Tuna",940
Subway,"Footlong Turkey & Bacon Avocado",780
Subway,"Footlong Turkey Breast",560
Subway,"Footlong Turkey Breast & Ham",560
Subway,"Footlong Turkey Italiano Melt (with Provolone)",980
Subway,"Footlong Veggie Patty",780
Subway,"Chicken & Bacon Ranch Melt Salad (includes Ranch dressing)",510
Subway,"Chipotle Southwest Steak & Cheese Wrap",760
Subway,"Rotisserie-Style Chicken Caesar Wrap",730
Subway,"Turkey, Bacon & Guacamole Wrap",810
Subway,"Cheese & Veggies Pizza",740
Subway,"Cheese Pizza",680
Subway,"Pepperoni Pizza",790
Subway,"Sausage Pizza",820
"Taco Bell","1/2 lb.* Cheesy Potato Burrito",540
"Taco Bell","7-Layer Burrito",510
"Taco Bell","Beefy 5-Layer Burrito",550
"Taco Bell","Cantina Power Burrito - Chicken",760
"Taco Bell","Cantina Power Burrito - Steak",780
"Taco Bell","Cantina Power Burrito - Veggie",740
"Taco Bell","Chicken Crunchy Cheesy Core Burrito",610
"Taco Bell","Steak Crunchy Cheesy Core Burrito",610
"Taco Bell","Beef Crunchy Cheesy Core Burrito",630
"Taco Bell","Loaded Taco Burrito",550
"Taco Bell","Chicken Quesarito",620
"Taco Bell","Steak Quesarito",630
"Taco Bell","Beef Quesarito",650
"Taco Bell","Smothered Burrito - Beef",710
"Taco Bell","Smothered Burrito - Shredded Chicken",650
"Taco Bell","Smothered Burrito - Steak",670
"Taco Bell","Chicken Spicy Cheesy Core Burrito",540
"Taco Bell","Steak Spicy Cheesy Core Burrito",550
"Taco Bell","Beef Spicy Cheesy Core Burrito",570
"Taco Bell","XXL Grilled Stuft Burrito - Beef",880
"Taco Bell","XXL Grilled Stuft Burrito - Chicken",830
"Taco Bell","XXL Grilled Stuft Burrito - Steak",820
"Taco Bell","Double Chalupa",600
"Taco Bell","Spicy Double Chalupa",600
"Taco Bell","Double Cheesy Gordita Crunch",570
"Taco Bell","Nacho Fries Bellgrande",710
"Taco Bell","Nachos BellGrande®",760
"Taco Bell","Cantina Power Bowl - Chicken",560
"Taco Bell","Cantina Power Bowl - Steak",580
"Taco Bell","Cantina Power Bowl - Veggie",540
"Taco Bell","Chicken Quesadilla",520
"Taco Bell",Chickstar,620
"Taco Bell","Crispy Chicken Quesadilla",650
"Taco Bell","Crunchwrap Supreme®",540
"Taco Bell","Express Taco Salad w/ Chips",580
"Taco Bell","Mexican Pizza",540
"Taco Bell","Steak Quesadilla",520
"Taco Bell","Original Triple Double Crunchwrap",700
"Taco Bell","Spicy Triple Double Crunchwrap",780
"Taco Bell","Express Taco Salad w/ Chips",580
"Taco Bell","Fiesta Taco Salad-Beef",780
"Taco Bell","Fiesta Taco Salad-Chicken",720
"Taco Bell","Fiesta Taco Salad-Steak",720
